# Common Single Photo Electron spectrum for SST 
# Produced by C. Alispach, T. Armstrong, J. Watson, 02/10/2018 
# Normalization: 
#  - Shifting x axis to get mean of distribution 1 p.e. 
# Parameters : 
#  - Optical crosstalk : 0.08 (agreed upon common value)
#  - SiPM gain smearing : 0.0504869 (in units of p.e., provided by SST-1M, LVR3) 
# The unit in abscissa is in number of photo electron 
# SiPM formula from Gentile 2010, see following paper
#  - http://adsabs.harvard.edu/abs/2010arXiv1006.3263G 
# Note that the Prompt and Prompt x AP columns are the same 
# Ampl.				Prompt				(Prompt x AP)
#------				--------			---------------
-1.669565042573983860E-01	3.118962835566918248E-99	3.118962835566918248E-99
-1.564459937468878348E-01	2.622280403754555960E-97	2.622280403754555960E-97
-1.459354832363772836E-01	2.111182025664493244E-95	2.111182025664493244E-95
-1.354249727258669544E-01	1.627608129977619349E-93	1.627608129977619349E-93
-1.249144622153564033E-01	1.201577097476224221E-91	1.201577097476224221E-91
-1.144039517048458521E-01	8.494367648068824573E-90	8.494367648068824573E-90
-1.038934411943353009E-01	5.750268005704079531E-88	5.750268005704079531E-88
-9.338293068382474971E-02	3.727543666906876766E-86	3.727543666906876766E-86
-8.287242017331419852E-02	2.313848998779959093E-84	2.313848998779959093E-84
-7.236190966280386938E-02	1.375386977481189868E-82	1.375386977481189868E-82
-6.185139915229331820E-02	7.828749969916595126E-81	7.828749969916595126E-81
-5.134088864178276701E-02	4.267146552309433899E-79	4.267146552309433899E-79
-4.083037813127221582E-02	2.227205625631869403E-77	2.227205625631869403E-77
-3.031986762076166464E-02	1.113167944807205659E-75	1.113167944807205659E-75
-1.980935711025111345E-02	5.327686839722847035E-74	5.327686839722847035E-74
-9.298846599740784313E-03	2.441711267054819129E-72	2.441711267054819129E-72
1.211663910769766872E-03	1.071587270316459235E-70	1.071587270316459235E-70
1.172217442128031806E-02	4.503378033630169263E-69	4.503378033630169263E-69
2.223268493179086924E-02	1.812286623613204213E-67	1.812286623613204213E-67
3.274319544230130941E-02	6.983819164005691756E-66	6.983819164005691756E-66
4.325370595281186059E-02	2.577132254562532699E-64	2.577132254562532699E-64
5.376421646332230075E-02	9.106637474517150014E-63	9.106637474517150014E-63
6.427472697383285194E-02	3.081463375918651189E-61	3.081463375918651189E-61
7.478523748434340312E-02	9.984667184196081541E-60	9.984667184196081541E-60
8.529574799485395431E-02	3.098045534934665773E-58	3.098045534934665773E-58
9.580625850536439447E-02	9.204911572367361999E-57	9.204911572367361999E-57
1.063167690158748346E-01	2.618961206425440633E-55	2.618961206425440633E-55
1.168272795263853858E-01	7.135363964197270086E-54	7.135363964197270086E-54
1.273377900368959370E-01	1.861576194357663065E-52	1.861576194357663065E-52
1.378483005474064882E-01	4.650751374387874703E-51	4.650751374387874703E-51
1.483588110579169284E-01	1.112610233531836397E-49	1.112610233531836397E-49
1.588693215684274795E-01	2.548828401718759213E-48	2.548828401718759213E-48
1.693798320789379197E-01	5.591338253649725000E-47	5.591338253649725000E-47
1.798903425894484709E-01	1.174542010451888673E-45	1.174542010451888673E-45
1.904008530999590221E-01	2.362647682265036240E-44	2.362647682265036240E-44
2.009113636104695733E-01	4.551001667323299357E-43	4.551001667323299357E-43
2.114218741209800134E-01	8.394457705630558285E-42	8.394457705630558285E-42
2.219323846314904536E-01	1.482708975741626428E-40	1.482708975741626428E-40
2.324428951420010048E-01	2.507822580850193775E-39	2.507822580850193775E-39
2.429534056525115560E-01	4.061769938565048395E-38	4.061769938565048395E-38
2.534639161630221071E-01	6.299577949165361200E-37	6.299577949165361200E-37
2.639744266735326583E-01	9.355892171802154841E-36	9.355892171802154841E-36
2.744849371840430985E-01	1.330566491596710517E-34	1.330566491596710517E-34
2.849954476945535387E-01	1.812030807336752725E-33	1.812030807336752725E-33
2.955059582050640898E-01	2.363046091083221929E-32	2.363046091083221929E-32
3.060164687155746410E-01	2.950913156847707797E-31	2.950913156847707797E-31
3.165269792260851922E-01	3.528728828105482069E-30	3.528728828105482069E-30
3.270374897365956324E-01	4.040710747573056521E-29	4.040710747573056521E-29
3.375480002471061836E-01	4.430725663403164920E-28	4.430725663403164920E-28
3.480585107576166237E-01	4.652320001482197436E-27	4.652320001482197436E-27
3.585690212681271749E-01	4.677802895681032476E-26	4.677802895681032476E-26
3.690795317786377261E-01	4.503932551491689777E-25	4.503932551491689777E-25
3.795900422891481663E-01	4.152593869475936442E-24	4.152593869475936442E-24
3.901005527996587174E-01	3.666271808981082709E-23	3.666271808981082709E-23
4.006110633101692686E-01	3.099613051941595818E-22	3.099613051941595818E-22
4.111215738206797088E-01	2.509388614029188458E-21	2.509388614029188458E-21
4.216320843311902600E-01	1.945386894655805792E-20	1.945386894655805792E-20
4.321425948417008112E-01	1.444181140379764526E-19	1.444181140379764526E-19
4.426531053522112513E-01	1.026632416382535657E-18	1.026632416382535657E-18
4.531636158627218025E-01	6.988531028631395043E-18	6.988531028631395043E-18
4.636741263732322427E-01	4.555483132392623950E-17	4.555483132392623950E-17
4.741846368837427939E-01	2.843548294642161195E-16	2.843548294642161195E-16
4.846951473942533450E-01	1.699669162792003391E-15	1.699669162792003391E-15
4.952056579047637852E-01	9.728498180835399504E-15	9.728498180835399504E-15
5.057161684152743364E-01	5.332180343797733280E-14	5.332180343797733280E-14
5.162266789257848876E-01	2.798604175610512300E-13	2.798604175610512300E-13
5.267371894362953277E-01	1.406551850907090336E-12	1.406551850907090336E-12
5.372476999468058789E-01	6.769360391290167383E-12	6.769360391290167383E-12
5.477582104573164301E-01	3.119730982087057865E-11	3.119730982087057865E-11
