0.007662	0           	0           0.020020	0           	0           
0.015325	0           	0           0.040040	0           	0           
0.022987	0           	0           0.060060	0           	0           
0.030650	0           	0           0.080080	0           	0           
0.038312	0           	0           0.100100	0           	0           
0.045975	0           	0           0.120120	0           	0           
0.053637	0           	0           0.140140	0           	0           
0.061300	0           	0           0.160160	0           	0           
0.068962	0           	0           0.180180	0           	0           
0.076625	0           	0           0.200200	0           	0           
0.084287	0           	0           0.220220	0           	0           
0.091949	0           	0           0.240240	0           	0           
0.099612	0           	0           0.260260	0           	0           
0.107274	0           	0           0.280280	0           	0           
0.114937	0           	0           0.300300	0           	0           
0.122599	0           	0           0.320320	0           	0           
0.130262	0           	0           0.340340	0           	0           
0.137924	0           	0           0.360360	0           	0           
0.145587	0           	0           0.380380	0           	0           
0.153249	7.7859e-09  	0.028931    0.400400	1.8752e-09  	0.0069679   
0.160912	2.8976e-08  	0.038789    0.420420	6.9787e-09  	0.009342    
0.168574	1.0313e-07  	0.049735    0.440440	2.4839e-08  	0.011978    
0.176236	3.5106e-07  	0.060988    0.460460	8.4549e-08  	0.014689    
0.183899	1.1428e-06  	0.071525    0.480480	2.7524e-07  	0.017226    
0.191561	3.5579e-06  	0.080223    0.500501	8.5689e-07  	0.019321    
0.199224	1.0593e-05  	0.086059    0.520521	2.5513e-06  	0.020727    
0.206886	3.0164e-05  	0.088307    0.540541	7.2647e-06  	0.021268    
0.214549	8.2142e-05  	0.086701    0.560561	1.9783e-05  	0.020881    
0.222211	0.00021392  	0.081512    0.580581	5.1522e-05  	0.019631    
0.229874	0.00053282  	0.073531    0.600601	0.00012832  	0.017709    
0.237536	0.0012692   	0.063996    0.620621	0.00030567  	0.015413    
0.245199	0.0028912   	0.054504    0.640641	0.00069632  	0.013127    
0.252861	0.0062987   	0.047009    0.660661	0.001517    	0.011322    
0.260523	0.013124    	0.043964    0.680681	0.0031607   	0.010588    
0.268186	0.02615     	0.048655    0.700701	0.006298    	0.011718    
0.275848	0.049832    	0.065706    0.720721	0.012002    	0.015825    
0.283511	0.090817    	0.10164     0.740741	0.021873    	0.02448     
0.291173	0.15829     	0.16532     0.760761	0.038122    	0.039815    
0.298836	0.26384     	0.26786     0.780781	0.063544    	0.064511    
0.306498	0.4206      	0.42187     0.800801	0.1013      	0.1016      
0.314161	0.64122     	0.63956     0.820821	0.15443     	0.15403     
0.321823	0.9349      	0.92978     0.840841	0.22516     	0.22393     
0.329486	1.3036      	1.2943      0.860861	0.31396     	0.31173     
0.337148	1.7384      	1.7243      0.880881	0.41867     	0.41529     
0.344810	2.217       	2.198       0.900901	0.53394     	0.52938     
0.352473	2.704       	2.6806      0.920921	0.65123     	0.64559     
0.360135	3.154       	3.1275      0.940941	0.75962     	0.75323     
0.367798	3.5184      	3.4909      0.960961	0.84738     	0.84076     
0.375460	3.7536      	3.728       0.980981	0.90402     	0.89786     
0.383123	3.8297      	3.8092      1.001001	0.92236     	0.91742     
0.390785	3.7369      	3.7245      1.021021	0.9         	0.89702     
0.398448	3.4871      	3.4853      1.041041	0.83985     	0.83941     
0.406110	3.1121      	3.1222      1.061061	0.74952     	0.75195     
0.413773	2.6562      	2.6783      1.081081	0.63971     	0.64504     
0.421435	2.1681      	2.2012      1.101101	0.52216     	0.53014     
0.429097	1.6925      	1.7345      1.121121	0.40761     	0.41773     
0.436760	1.2635      	1.3117      1.141141	0.30431     	0.31592     
0.444422	0.90211     	0.95365     1.161161	0.21727     	0.22968     
0.452085	0.61598     	0.66811     1.181181	0.14835     	0.16091     
0.459747	0.40224     	0.45273     1.201201	0.096876    	0.10904     
0.467410	0.25121     	0.29847     1.221221	0.060501    	0.071885    
0.475072	0.15003     	0.19319     1.241241	0.036135    	0.046529    
0.482735	0.085699    	0.12451     1.261261	0.02064     	0.029987    
0.490397	0.046815    	0.081593    1.281281	0.011275    	0.019651    
0.498059	0.024459    	0.05592     1.301301	0.0058908   	0.013468    
0.505722	0.012224    	0.041354    1.321321	0.0029441   	0.0099597   
0.513384	0.0058494   	0.033772    1.341341	0.0014088   	0.0081338   
0.521047	0.0026904   	0.030567    1.361361	0.00064795  	0.0073618   
0.528709	0.001211    	0.030154    1.381381	0.00029165  	0.0072623   
0.536372	0.00057598  	0.031589    1.401401	0.00013872  	0.0076079   
0.544034	0.00036562  	0.034299    1.421421	8.8056e-05  	0.0082606   
0.551697	0.00039639  	0.037916    1.441441	9.5467e-05  	0.0091319   
0.559359	0.0006205   	0.04219     1.461461	0.00014944  	0.010161    
0.567022	0.0010788   	0.046942    1.481481	0.00025981  	0.011306    
0.574684	0.0018877   	0.052069    1.501502	0.00045464  	0.01254     
0.582346	0.0032491   	0.057549    1.521522	0.00078253  	0.01386     
0.590009	0.0054752   	0.063483    1.541542	0.0013187   	0.015289    
0.597671	0.0090248   	0.070129    1.561562	0.0021735   	0.01689     
0.605334	0.014548    	0.077957    1.581582	0.0035037   	0.018775    
0.612996	0.022933    	0.087702    1.601602	0.0055233   	0.021122    
0.620659	0.035355    	0.10041     1.621622	0.008515    	0.024183    
0.628321	0.053303    	0.11748     1.641642	0.012838    	0.028294    
0.635984	0.078588    	0.14066     1.661662	0.018927    	0.033877    
0.643646	0.11331     	0.17202     1.681682	0.02729     	0.04143     
0.651309	0.15977     	0.21387     1.701702	0.038479    	0.051508    
0.658971	0.22031     	0.26857     1.721722	0.053059    	0.064683    
0.666633	0.29708     	0.33835     1.741742	0.071549    	0.08149     
0.674296	0.39177     	0.425       1.761762	0.094354    	0.10236     
0.681958	0.50523     	0.52952     1.781782	0.12168     	0.12753     
0.689621	0.63719     	0.65181     1.801802	0.15346     	0.15698     
0.697283	0.78588     	0.79034     1.821822	0.18927     	0.19035     
0.704946	0.94787     	0.942       1.841842	0.22829     	0.22687     
0.712608	1.118       	1.102       1.861862	0.26927     	0.2654      
0.720271	1.2896      	1.2639      1.881882	0.3106      	0.30441     
