228    0.0011	# Extrapolated
269.4867	0.06626948356807512
269.643	0.06626948356807512
269.7993	0.06638403755868545
269.9557	0.06644131455399062
270.112	0.06655586854460094
270.2683	0.06678497652582159
270.4247	0.06695680751173709
270.581	0.06718591549295776
270.7372	0.06730046948356806
270.8936	0.06747230046948358
271.05	0.06770140845070423
271.2063	0.06781596244131455
271.3626	0.06798779342723005
271.519	0.0682169014084507
271.6753	0.0683887323943662
271.8316	0.06850328638497652
271.9879	0.06873239436619719
272.1443	0.06890422535211269
272.3006	0.06913333333333334
272.4569	0.0691906103286385
272.6133	0.06941971830985916
272.7696	0.06964882629107981
272.9259	0.06982065727699531
273.0822	0.06993521126760563
273.2386	0.07010704225352113
273.3949	0.0703361502347418
273.5512	0.07056525821596245
273.7076	0.07073708920187793
273.8639	0.07085164319248827
274.0202	0.07102347417840375
274.1764	0.0712525821596244
274.3329	0.07148169014084507
274.4892	0.07165352112676056
274.6455	0.07188262910798122
274.8018	0.07205446009389672
274.9582	0.07228356807511738
275.1145	0.07245539906103286
275.2709	0.07268450704225353
275.4272	0.07297089201877935
275.5835	0.0732
275.7399	0.07331455399061033
275.8961	0.07360093896713615
276.0525	0.07377276995305164
276.2089	0.0740018779342723
276.3652	0.07423098591549294
276.5215	0.07440281690140844
276.6779	0.07474647887323943
276.8342	0.07491830985915493
276.9905	0.0751474178403756
277.1468	0.0753192488262911
277.3032	0.07560563380281692
277.4595	0.07583474178403755
277.6159	0.07606384976525822
277.7722	0.0762356807511737
277.9285	0.0765793427230047
278.0849	0.07675117370892019
278.2412	0.07698028169014083
278.3975	0.07726666666666666
278.5539	0.07749577464788732
278.7102	0.07766760563380282
278.8665	0.07789671361502348
279.0229	0.0781830985915493
279.1792	0.07846948356807512
279.3355	0.07869859154929577
279.4919	0.07898497652582159
279.6482	0.07921408450704226
279.8045	0.07938591549295775
279.9609	0.07972957746478873
280.1172	0.07990140845070423
280.2735	0.08024507042253522
280.4299	0.08053145539906104
280.5862	0.08070328638497652
280.7426	0.08104694835680751
280.8989	0.08121877934272301
281.0552	0.081562441314554
281.2116	0.0817342723004695
281.3679	0.08207793427230048
281.5242	0.0823643192488263
281.6806	0.0825361502347418
281.8369	0.08287981220657277
281.9933	0.08316619718309859
282.1496	0.08339530516431926
282.3059	0.08368169014084507
282.4623	0.08396807511737091
282.6186	0.08419718309859155
282.7749	0.08448356807511738
282.9313	0.08482723004694837
283.0876	0.08499906103286387
283.244	0.08528544600938968
283.4003	0.08562910798122066
283.5566	0.08591549295774648
283.713	0.08614460093896714
283.8693	0.08643098591549296
284.0256	0.0867173708920188
284.182	0.08706103286384977
284.3383	0.08734741784037559
284.4947	0.08757652582159625
284.651	0.08786291079812207
284.8073	0.08814929577464789
284.9637	0.08849295774647888
285.12	0.0887793427230047
285.2764	0.08906572769953051
285.4327	0.08929483568075118
285.589	0.089581220657277
285.7454	0.08986760563380282
285.9017	0.0902112676056338
286.0581	0.09049765258215962
286.2144	0.09078403755868544
286.3707	0.09112769953051643
286.5271	0.09141408450704226
286.6834	0.09170046948356808
286.8397	0.09204413145539907
286.9961	0.09233051643192489
287.1525	0.09273145539906102
287.3088	0.09307511737089202
287.4651	0.09336150234741784
287.6215	0.09364788732394368
287.7778	0.09404882629107982
287.9342	0.0943924882629108
288.0905	0.09467887323943663
288.2469	0.09507981220657277
288.4032	0.09542347417840376
288.5594	0.09570985915492958
288.7159	0.09611079812206574
288.8721	0.09639718309859156
289.0286	0.0967981220657277
289.1849	0.09725633802816902
289.3413	0.09754272300469484
289.4976	0.09794366197183099
289.654	0.09834460093896714
289.8103	0.09863098591549296
289.9667	0.09908920187793427
290.123	0.09949014084507042
290.2793	0.09983380281690142
290.4357	0.10017746478873239
290.592	0.10057840375586856
290.7484	0.1009793427230047
290.9048	0.10138028169014085
291.0611	0.10183849765258218
291.2175	0.10223943661971831
291.3738	0.10264037558685446
291.5302	0.10315586854460095
291.6865	0.1035568075117371
291.8429	0.10395774647887324
291.9992	0.1043586854460094
292.1556	0.10475962441314554
292.3119	0.10527511737089201
292.4683	0.10561877934272301
292.6246	0.10607699530516433
292.781	0.1065924882629108
292.9374	0.10699342723004694
293.0937	0.10750892018779343
293.2501	0.10790985915492958
293.4064	0.10842535211267605
293.5628	0.10882629107981222
293.7191	0.10934178403755868
293.8755	0.10974272300469484
294.0318	0.11025821596244133
294.1882	0.1107737089201878
294.3446	0.11128920187793429
294.5009	0.11169014084507042
294.6573	0.1122056338028169
294.8136	0.11272112676056338
294.97	0.11323661971830987
295.1264	0.113637558685446
295.2827	0.11415305164319249
295.4391	0.11466854460093896
295.5954	0.11518403755868545
295.7518	0.11564225352112675
295.9082	0.11615774647887324
296.0645	0.11667323943661971
296.2209	0.11718873239436621
296.3772	0.11770422535211268
296.5335	0.11810516431924883
296.69	0.1186206572769953
296.8463	0.11913615023474178
297.0027	0.11965164319248825
297.159	0.12016713615023474
297.3154	0.12068262910798123
297.4718	0.12114084507042253
297.628	0.12165633802816903
297.7845	0.12217183098591548
297.9407	0.12268732394366198
298.0972	0.12308826291079814
