#DataThief /Users/oxon/Desktop/Untitled 5.png Thursday 26-Apr-2018 10:31:32 AM
269.7968, 0.0695
269.9531, 0.0695
270.1094, 0.0698
270.2657, 0.07
270.422, 0.0702
270.5784, 0.0703
270.7347, 0.0705
270.891, 0.0707
271.0473, 0.0707
271.2036, 0.0709
271.3599, 0.0711
271.5163, 0.0712
271.6726, 0.0714
271.8289, 0.0716
271.9851, 0.0718
272.1416, 0.0719
272.2979, 0.0721
272.4542, 0.0723
272.6105, 0.0725
272.7669, 0.0727
272.9232, 0.0728
273.0795, 0.073
273.2358, 0.0732
273.3921, 0.0734
273.5485, 0.0735
273.7048, 0.0737
273.8611, 0.0739
274.0174, 0.0741
274.1737, 0.0743
274.3301, 0.0743
274.4864, 0.0744
274.6427, 0.0746
274.799, 0.0748
274.9553, 0.075
275.1117, 0.0753
275.268, 0.0755
275.4243, 0.0757
275.5806, 0.0759
275.737, 0.076
275.8933, 0.0762
276.0496, 0.0764
276.2059, 0.0767
276.3622, 0.0769
276.5186, 0.0771
276.6749, 0.0775
276.8312, 0.0776
276.9875, 0.0778
277.1439, 0.078
277.3002, 0.0783
277.4565, 0.0785
277.6128, 0.0787
277.7692, 0.0791
277.9255, 0.0792
278.0818, 0.0794
278.2381, 0.0798
278.3945, 0.0799
278.5508, 0.0801
278.7071, 0.0805
278.8634, 0.0807
279.0198, 0.081
279.1761, 0.0812
279.3324, 0.0815
279.4887, 0.0817
279.6451, 0.0819
279.8014, 0.0823
279.9577, 0.0824
280.114, 0.0828
280.2704, 0.083
280.4267, 0.0833
280.583, 0.0836
280.7393, 0.0839
280.8957, 0.0842
281.052, 0.0844
281.2083, 0.0848
281.3646, 0.0849
281.521, 0.0853
281.6773, 0.0856
281.8336, 0.0858
281.99, 0.0862
282.1463, 0.0865
282.3026, 0.0867
282.4588, 0.0871
282.6153, 0.0874
282.7715, 0.0876
282.9279, 0.088
283.0843, 0.0883
283.2406, 0.0887
283.3969, 0.0888
283.5532, 0.0892
283.7096, 0.0896
283.8659, 0.0899
284.0222, 0.0903
284.1786, 0.0904
284.3349, 0.0908
284.4912, 0.0912
284.6475, 0.0915
284.8039, 0.0919
284.9602, 0.0922
285.1165, 0.0924
285.2729, 0.0928
285.4292, 0.0931
285.5855, 0.0935
285.7419, 0.0937
285.8982, 0.0942
286.0545, 0.0945
286.2107, 0.0949
286.3672, 0.0952
286.5234, 0.0956
286.6798, 0.096
286.8362, 0.0963
286.9925, 0.0967
287.1488, 0.097
287.3052, 0.0974
287.4615, 0.0977
287.6178, 0.0981
287.7742, 0.0984
287.9304, 0.0988
288.0868, 0.0993
288.2432, 0.0997
288.3995, 0.1
288.5558, 0.1004
288.7122, 0.1008
288.8685, 0.1011
289.0248, 0.1015
289.1812, 0.102
289.3375, 0.1024
289.4938, 0.1027
289.6501, 0.1031
289.8065, 0.1036
289.9628, 0.104
290.1191, 0.1043
290.2755, 0.1048
290.4318, 0.1052
290.5882, 0.1056
290.7445, 0.1059
290.9008, 0.1064
291.0572, 0.1068
291.2135, 0.1073
291.3698, 0.1077
291.5262, 0.108
291.6825, 0.1086
291.8388, 0.1089
291.9952, 0.1095
292.1515, 0.1098
292.3078, 0.1104
292.4642, 0.1107
292.6205, 0.1112
292.7768, 0.1116
292.9332, 0.1121
293.0895, 0.1125
293.2459, 0.113
293.4022, 0.1134
293.5585, 0.1139
293.7149, 0.1144
293.8712, 0.1148
294.0275, 0.1153
294.1839, 0.1159
294.3402, 0.1162
294.4966, 0.1168
294.6529, 0.1173
294.8092, 0.1177
294.9656, 0.1182
295.1219, 0.1187
295.2782, 0.1193
295.4346, 0.1196
295.5909, 0.1201
295.7473, 0.1207
295.9036, 0.1212
296.0599, 0.1217
296.2163, 0.1221
