-102.0024	-154.8154	-17.525
-95.6232	-154.8154	-17.0087
-89.2441	-154.8154	-16.4923
-82.865	-154.8154	-15.976
-76.4858	-154.8154	-15.4597
-70.1067	-154.8154	-14.9433
-63.7276	-154.8154	-14.427
-57.3484	-154.8154	-13.9107
-48.976	-154.8154	-13.4594
-42.5784	-154.8154	-13.2872
-36.1807	-154.8154	-13.1149
-29.783	-154.8154	-12.9426
-23.3853	-154.8154	-12.7703
-16.9876	-154.8154	-12.598
-10.5899	-154.8154	-12.4258
-4.1923	-154.8154	-12.2535
4.1923	-154.8154	-12.2535
10.5899	-154.8154	-12.4258
16.9876	-154.8154	-12.598
23.3853	-154.8154	-12.7703
29.783	-154.8154	-12.9426
36.1807	-154.8154	-13.1149
42.5784	-154.8154	-13.2872
48.976	-154.8154	-13.4594
57.3484	-154.8154	-13.9107
63.7276	-154.8154	-14.427
70.1067	-154.8154	-14.9433
76.4858	-154.8154	-15.4597
82.865	-154.8154	-15.976
89.2441	-154.8154	-16.4923
95.6232	-154.8154	-17.0087
102.0024	-154.8154	-17.525
-102.0709	-148.472	-16.6786
-95.6918	-148.472	-16.1622
-89.3126	-148.472	-15.6459
-82.9335	-148.472	-15.1296
-76.5543	-148.472	-14.6132
-70.1752	-148.472	-14.0969
-63.7961	-148.472	-13.5806
-57.4169	-148.472	-13.0642
-48.9989	-148.472	-12.6105
-42.6012	-148.472	-12.4383
-36.2035	-148.472	-12.266
-29.8058	-148.472	-12.0937
-23.4082	-148.472	-11.9214
-17.0105	-148.472	-11.7491
-10.6128	-148.472	-11.5769
-4.2151	-148.472	-11.4046
4.2151	-148.472	-11.4046
10.6128	-148.472	-11.5769
17.0105	-148.472	-11.7491
23.4082	-148.472	-11.9214
29.8058	-148.472	-12.0937
36.2035	-148.472	-12.266
42.6012	-148.472	-12.4383
48.9989	-148.472	-12.6105
57.4169	-148.472	-13.0642
63.7961	-148.472	-13.5806
70.1752	-148.472	-14.0969
76.5543	-148.472	-14.6132
82.9335	-148.472	-15.1296
